intensity_nA,rmse,entropy,accumulated_err,total_spikes
0.0,70.0,4.60517018598809,7000.0,0
0.1,55.69001231918831,4.60517018598809,5569.001231918831,11000
0.2,56.00751940541295,4.60517018598809,5600.751940541298,19900
0.30000000000000004,55.66156871190624,4.60517018598809,5566.156871190626,24900
0.4,56.3203810461711,4.60517018598809,5632.03810461711,33200
0.5,57.96999950000048,4.60517018598809,5796.999950000049,49900
0.6000000000000001,57.56546717334033,4.60517018598809,5756.546717334029,49900
0.7000000000000001,57.17337463378955,4.60517018598809,5717.337463378954,49900
0.8,56.77187536621142,4.60517018598809,5677.187536621139,49900
0.9,56.3715992675786,4.60517018598809,5637.15992675786,49900
1.0,61.009999999999984,4.60517018598809,6101.000000000001,99900
1.1,61.108999023437505,4.60517018598809,6110.899902343751,99900
1.2000000000000002,61.207998046875,4.60517018598809,6120.799804687501,99900
1.3,61.307001953124995,4.60517018598809,6130.7001953125,99900
1.4000000000000001,61.40600097656248,4.60517018598809,6140.60009765625,99900
1.5,61.505,4.60517018598809,6150.500000000001,99900
1.6,61.60399902343751,4.60517018598809,6160.399902343751,99900
1.7000000000000002,61.702998046875,4.60517018598809,6170.299804687501,99900
1.8,61.802001953125,4.60517018598809,6180.2001953125,99900
1.9000000000000001,61.9010009765625,4.60517018598809,6190.10009765625,99900
2.0,62.0,4.60517018598809,6200.0,99900
2.1,62.11,4.60517018598809,6210.999999999999,100000
2.2,62.209999999999994,4.60517018598809,6221.000000000001,100000
2.3000000000000003,62.309999999999995,4.60517018598809,6231.0,100000
2.4000000000000004,62.40999999999999,4.60517018598809,6240.999999999997,100000
2.5,62.50999999999999,4.60517018598809,6251.000000000001,100000
2.6,62.60999999999999,4.60517018598809,6260.999999999999,100000
2.7,62.709999999999994,4.60517018598809,6271.000000000001,100000
2.8000000000000003,62.81000000000001,4.60517018598809,6281.0,100000
2.9000000000000004,62.910000000000004,4.60517018598809,6290.999999999997,100000
3.0,63.010000000000005,4.60517018598809,6301.000000000001,100000
3.1,63.10999999999999,4.60517018598809,6310.999999999999,100000
3.2,63.209999999999994,4.60517018598809,6321.000000000001,100000
3.3000000000000003,63.31,4.60517018598809,6331.0,100000
3.4000000000000004,63.40999999999999,4.60517018598809,6340.999999999997,100000
3.5,63.51000000000001,4.60517018598809,6351.000000000001,100000
3.6,63.610000000000014,4.60517018598809,6360.999999999999,100000
3.7,63.709999999999994,4.60517018598809,6371.000000000001,100000
3.8000000000000003,63.809999999999995,4.60517018598809,6381.0,100000
3.9000000000000004,63.910000000000004,4.60517018598809,6390.999999999997,100000
4.0,64.00999999999998,4.60517018598809,6401.0,100000
